State,Age Category,Total Diabetes Deaths,Hombres Diabetes Deaths,Mujeres Diabetes Death,Total Population,Hombres Population,Mujeres Population,Diabetes death per 100k people,Diabetes death per 100k MEN,Diabetes death per 100k WOMEN,Lat,Long,Avg years in schooling for 15+ years of age Total,Avg years in schooling for 15+ years of age HOMBRES,Avg years in schooling for 15+ years of age MUJERES,Total Pobreza (thousands of ppl),Pobreza moderada (thousands of ppl),Pobreza extrema (thousands of ppl),Porcentaje de población de 20 años y más con obesidad.,Porcentaje de población de 20 años y más con diagnóstico previo de hipertensión.,Porcentaje de población de 20 años y más con diagnóstico previo de diabetes.
Aguascalientes,Total,"3,532","1,948","1,583",1425607,696683,728924,247.75,279.61,217.17,21.8853,-102.2916,10.35,10.38,10.32,396.5,361.8,34.7,32.6,14.7,7.6
Aguascalientes,80 años y mas,182,82,100,"19,080","8,019","11,061",953.88,"1,022.57",904.08,21.8853,-102.2916,,,,,,,,,
Aguascalientes,70 a 79 años,198,100,98,"42,167","19,521","22,646",469.56,512.27,432.75,21.8853,-102.2916,,,,,,,,,
Aguascalientes,60 a 69 años,251,130,121,"84,129","39,133","44,996",298.35,332.20,268.91,21.8853,-102.2916,,,,,,,,,
Aguascalientes,50 a 59 años,167,99,68,"132,986","62,219","70,767",125.58,159.12,96.09,21.8853,-102.2916,,,,,,,,,
Aguascalientes,40 a 49 años,59,35,24,"177,047","84,002","93,045",33.32,41.67,25.79,21.8853,-102.2916,,,,,,,,,
Aguascalientes,30 a 39 años,12,6,6,"206,082","99,425","106,657",5.82,6.03,5.63,21.8853,-102.2916,,,,,,,,,
Aguascalientes,20 a 29 años,7,3,4,"245,446","121,295","124,151",2.85,2.47,3.22,21.8853,-102.2916,,,,,,,,,
Aguascalientes,<20 años,0,0,0,"517,162","262,320","254,842",0.00,0.00,0.00,21.8853,-102.2916,,,,,,,,,
Baja California,Total,502,273,229,3769020,1900589,1868431,13.32,14.36,12.26,30.8406,-115.2838,10.2,10.22,10.18,851.7,793.7,58,48.4,21.0,10.0
Baja California,80 años y mas,664,290,374,"44,277","18,837","25,440","1,499.65","1,539.52","1,470.13",30.8406,-115.2838,,,,,,,,,
Baja California,70 a 79 años,872,452,420,"106,299","49,645","56,654",820.33,910.46,741.34,30.8406,-115.2838,,,,,,,,,
Baja California,60 a 69 años,945,540,405,"228,726","110,269","118,457",413.16,489.71,341.90,30.8406,-115.2838,,,,,,,,,
Baja California,50 a 59 años,669,433,235,"390,041","197,567","192,474",171.52,219.17,122.09,30.8406,-115.2838,,,,,,,,,
Baja California,40 a 49 años,294,184,110,"534,455","272,519","261,936",55.01,67.52,41.99,30.8406,-115.2838,,,,,,,,,
Baja California,30 a 39 años,72,42,30,"594,458","300,333","294,125",12.11,13.98,10.20,30.8406,-115.2838,,,,,,,,,
Baja California,20 a 29 años,14,7,7,"668,603","339,700","328,903",2.09,2.06,2.13,30.8406,-115.2838,,,,,,,,,
Baja California,<20 años,2,0,2,"1,193,942","607,623","586,319",0.17,0.00,0.34,30.8406,-115.2838,,,,,,,,,
Baja California Sur,Total,972,486,486,798447,405879,392568,121.74,119.74,123.80,26.0444,-111.6661,10.34,10.28,10.4,223.4,200,23.4,42.8,16.5,8.4
Baja California Sur,80 años y mas,108,46,62,"8,528","3,802","4,726","1,266.42","1,209.89","1,311.89",26.0444,-111.6661,,,,,,,,,
Baja California Sur,70 a 79 años,125,75,50,"20,711","10,149","10,562",603.54,738.99,473.40,26.0444,-111.6661,,,,,,,,,
Baja California Sur,60 a 69 años,135,72,63,"46,369","23,002","23,367",291.14,313.02,269.61,26.0444,-111.6661,,,,,,,,,
Baja California Sur,50 a 59 años,80,53,27,"77,068","38,815","38,253",103.80,136.55,70.58,26.0444,-111.6661,,,,,,,,,
Baja California Sur,40 a 49 años,38,21,17,"111,160","57,108","54,052",34.18,36.77,31.45,26.0444,-111.6661,,,,,,,,,
Baja California Sur,30 a 39 años,12,5,7,"132,706","67,942","64,764",9.04,7.36,10.81,26.0444,-111.6661,,,,,,,,,
Baja California Sur,20 a 29 años,2,1,1,"135,541","69,464","66,077",1.48,1.44,1.51,26.0444,-111.6661,,,,,,,,,
Baja California Sur,<20 años,2,0,2,"262,522","133,684","128,838",0.76,0.00,1.55,26.0444,-111.6661,,,,,,,,,
Campeche,Total,"6,016","2,913","3,103",928363,456939,471424,648.02,637.50,658.22,19.8301,-90.5349,9.63,9.74,9.52,472.4,359.9,112.6,44.9,26.1,14.0
Campeche,80 años y mas,286,139,147,"14,567","7,094","7,473","1,963.34","1,959.40","1,967.08",19.8301,-90.5349,,,,,,,,,
Campeche,70 a 79 años,304,143,161,"29,475","14,652","14,823","1,031.38",975.98,"1,086.15",19.8301,-90.5349,,,,,,,,,
Campeche,60 a 69 años,191,106,85,"58,574","28,550","30,024",326.08,371.28,283.11,19.8301,-90.5349,,,,,,,,,
Campeche,50 a 59 años,132,68,64,"91,059","44,249","46,810",144.96,153.68,136.72,19.8301,-90.5349,,,,,,,,,
Campeche,40 a 49 años,33,19,14,"121,798","58,797","63,001",27.09,32.31,22.22,19.8301,-90.5349,,,,,,,,,
Campeche,30 a 39 años,18,8,10,"142,984","68,168","74,816",12.59,11.74,13.37,19.8301,-90.5349,,,,,,,,,
Campeche,20 a 29 años,7,2,5,"317,258","160,956","156,302",2.21,1.24,3.20,19.8301,-90.5349,,,,,,,,,
Campeche,<20 años,1,1,0,"317,258","160,956","156,302",0.32,0.62,0.00,19.8301,-90.5349,,,,,,,,,
Chiapas,Total,"3,850","1,957","1,893","5,543,828","2,705,947","2,837,881",69.45,72.32,66.70,16.74999697,-92.63337447,10.43,10.51,10.36,812.1,731.2,81,29.0,16.2,7.8
Chiapas,80 años y mas,964,410,554,"74,241","36,388","37,853","1,298.47","1,126.75","1,463.56",16.74999697,-92.63337447,,,,,,,,,
Chiapas,70 a 79 años,"1,428",671,757,"149,013","75,090","73,923",958.31,893.59,"1,024.04",16.74999697,-92.63337447,,,,,,,,,
Chiapas,60 a 69 años,"1,634",807,827,"284,503","139,703","144,800",574.33,577.65,571.13,16.74999697,-92.63337447,,,,,,,,,
Chiapas,50 a 59 años,"1,213",634,579,"440,203","212,062","228,141",275.55,298.97,253.79,16.74999697,-92.63337447,,,,,,,,,
Chiapas,40 a 49 años,531,258,273,"613,537","292,281","321,256",86.55,88.27,84.98,16.74999697,-92.63337447,,,,,,,,,
Chiapas,30 a 39 años,172,88,84,"768,908","359,031","409,877",22.37,24.51,20.49,16.74999697,-92.63337447,,,,,,,,,
Chiapas,20 a 29 años,65,38,27,"888,926","422,187","466,739",7.31,9.00,5.78,16.74999697,-92.63337447,,,,,,,,,
Chiapas,<20 años,9,7,2,"2,296,653","1,155,304","1,141,349",0.39,0.61,0.18,16.74999697,-92.63337447,,,,,,,,,
Chihuahua,Total,"14,562","7,884","6,678","3,741,869","1,853,822","1,888,047",389.16,425.28,353.70,26.93335472,-105.6666358,10.05,9.99,10.1,196,182.4,13.7,38.7,22.6,9.3
Chihuahua,80 años y mas,772,320,452,"53,733","23,607","30,126","1,436.73","1,355.53","1,500.37",26.93335472,-105.6666358,,,,,,,,,
Chihuahua,70 a 79 años,"1,025",515,510,"124,283","57,660","66,623",824.73,893.17,765.50,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,60 a 69 años,998,531,467,"241,805","113,783","128,022",412.73,466.68,364.78,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,50 a 59 años,688,398,290,"393,569","191,632","201,937",174.81,207.69,143.61,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,40 a 49 años,257,138,119,"500,505","247,592","252,913",51.35,55.74,47.05,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,30 a 39 años,77,40,37,"539,313","266,261","273,052",14.28,15.02,13.55,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,20 a 29 años,29,13,16,"612,366","305,125","307,241",4.74,4.26,5.21,26.93335472,-105.6666358,,,,,,,,,
Chihuahua,<20 años,4,2,2,"1,268,656","644,349","624,307",0.32,0.31,0.32,26.93335472,-105.6666358,,,,,,,,,
Distrito Federal,Total,"3,898","1,961","1,937","9,209,944","4,404,927","4,805,017",42.32,44.52,40.31,19.44244244,-99.1309882,7.78,8.09,7.5,4218,2594.9,1623.1,36.3,20.2,12.7
Distrito Federal,80 años y mas,"3,707","1,501","2,206","222,950","82,762","140,188","1,662.70","1,813.63","1,573.60",19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,70 a 79 años,"3,813","2,045","1,768","442,959","189,340","253,619",860.80,"1,080.07",697.11,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,60 a 69 años,"3,595","2,114","1,481","825,710","366,310","459,400",435.38,577.11,322.38,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,50 a 59 años,"2,261","1,453",808,"1,149,930","526,045","623,885",196.62,276.21,129.51,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,40 a 49 años,934,622,312,"1,339,252","631,158","708,094",69.74,98.55,44.06,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,30 a 39 años,201,123,78,"1,449,461","703,993","745,468",13.87,17.47,10.46,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,20 a 29 años,45,23,22,"1,466,894","731,130","735,764",3.07,3.15,2.99,19.44244244,-99.1309882,,,,,,,,,
Distrito Federal,<20 años,6,3,3,"2,303,162","1,169,406","1,133,756",0.26,0.26,0.26,19.44244244,-99.1309882,,,,,,,,,
Coahuila,Total,744,400,344,3146771,1563669,1583102,23.64,25.58,21.73,27.0587,-101.7068,10,9.98,10.02,952.5,842,110.5,37.6,22.4,12.3
Coahuila,80 años y mas,679,290,389,"43,680","19,127","24,553","1,554.49","1,516.18","1,584.33",27.0587,-101.7068,,,,,,,,,
Coahuila,70 a 79 años,"1,014",497,517,"101,485","48,294","53,191",999.16,"1,029.11",971.97,27.0587,-101.7068,,,,,,,,,
Coahuila,60 a 69 años,"1,144",585,559,"203,372","97,937","105,435",562.52,597.32,530.18,27.0587,-101.7068,,,,,,,,,
Coahuila,50 a 59 años,677,359,318,"320,429","155,538","164,891",211.28,230.81,192.85,27.0587,-101.7068,,,,,,,,,
Coahuila,40 a 49 años,268,161,107,"423,889","207,837","216,052",63.22,77.46,49.53,27.0587,-101.7068,,,,,,,,,
Coahuila,30 a 39 años,89,52,37,"443,963","220,253","223,710",20.05,23.61,16.54,27.0587,-101.7068,,,,,,,,,
